"","US","Rus","Syr","Tur","S.A.","Iran","ISIS","Hez","IqKrd","Nursa","Iraq","Energy","US_Frustration","Rus_Frustration","Syr_Frustration","Tur_Frustration","S.A._Frustration","Iran_Frustration","ISIS_Frustration","Hez_Frustration","IqKrd_Frustration","Nursa_Frustration","Iraq_Frustration","Local Min"
"349",1,2,2,1,2,2,2,1,1,2,1,-59800,-2800,-600,-4500,-2400,100,-600,-23000,-400,-12800,-1300,-11500,FALSE
"3692",1,2,2,2,1,2,2,1,1,2,1,-61600,-2700,-500,-4000,-200,-3000,-800,-24000,-400,-13200,-1300,-11500,FALSE
"392",1,1,1,1,1,2,2,2,2,2,1,-70000,-2300,-2500,-14500,-1700,-2500,-2800,-27000,600,-4400,-1400,-11500,FALSE
"404",1,1,1,1,2,2,2,1,2,2,1,-69800,-1800,-2500,-16000,-1700,-400,-1600,-27000,-1400,-4400,-1500,-11500,FALSE
"406",1,1,1,1,2,2,2,2,1,2,1,-73800,-2600,-2100,-11000,-1300,-400,-2400,-33000,600,-8400,-1700,-11500,FALSE
"419",1,1,1,2,1,2,2,1,2,2,1,-72400,-1700,-2600,-16500,-900,-2500,-1800,-28000,-1400,-4000,-1500,-11500,FALSE
"421",1,1,1,2,1,2,2,2,1,2,1,-78000,-2500,-2200,-11500,-1300,-2500,-2600,-34000,600,-8800,-1700,-11500,FALSE
"440",1,1,1,2,2,2,2,1,1,2,1,-77800,-2000,-2200,-13000,-1300,-400,-1400,-34000,-1400,-8800,-1800,-11500,FALSE
"4541",1,1,2,1,1,2,2,1,2,2,1,-44000,-2400,-2000,-500,-2700,-3000,-1000,-19000,-400,-400,-1100,-11500,FALSE
"4561",1,1,2,1,1,2,2,2,1,2,1,-68000,-3200,-1600,-5500,-2300,-3000,-1800,-25000,-400,-12400,-1300,-11500,FALSE
"475",1,1,2,1,2,2,2,1,1,2,1,-61800,-2700,-1600,-4000,-2300,100,-600,-25000,-400,-12400,-1400,-11500,FALSE
"4951",1,1,2,2,1,2,2,1,1,2,1,-64000,-2600,-1700,-3500,-300,-3000,-800,-26000,-400,-12800,-1400,-11500,FALSE
"524",1,2,1,1,1,2,2,1,2,2,1,-68400,-2000,300,-15000,-1800,-2500,-2000,-27000,-1400,-4000,-1500,-11500,FALSE
"526",1,2,1,1,1,2,2,2,1,2,1,-74000,-2800,-100,-10000,-1400,-2500,-2800,-33000,600,-8800,-1700,-11500,FALSE
"545",1,2,1,1,2,2,2,1,1,2,1,-73800,-2300,-100,-11500,-1400,-400,-1600,-33000,-1400,-8800,-1800,-11500,FALSE
"565",1,2,1,2,1,2,2,1,1,2,1,-77600,-2200,0,-12000,-1200,-2500,-1800,-34000,-1400,-9200,-1800,-11500,FALSE
"6001",1,2,2,1,1,2,2,1,1,2,1,-66000,-2900,-600,-5000,-2400,-3000,-1000,-25000,-400,-12800,-1400,-11500,FALSE
"650",1,1,1,1,1,2,2,1,2,2,1,-74000,-1900,-2500,-15500,-1700,-2500,-2000,-29000,-1400,-4400,-1600,-11500,FALSE
"652",1,1,1,1,1,2,2,2,1,2,1,-78000,-2700,-2100,-10500,-1300,-2500,-2800,-35000,600,-8400,-1800,-11500,FALSE
"671",1,1,1,1,2,2,2,1,1,2,1,-77800,-2200,-2100,-12000,-1300,-400,-1600,-35000,-1400,-8400,-1900,-11500,FALSE
"691",1,1,1,2,1,2,2,1,1,2,1,-82000,-2100,-2200,-12500,-1300,-2500,-1800,-36000,-1400,-8800,-1900,-11500,FALSE
"7261",1,1,2,1,1,2,2,1,1,2,1,-68000,-2800,-1600,-4500,-2300,-3000,-1000,-27000,-400,-12400,-1500,-11500,FALSE
"782",1,2,1,1,1,2,2,1,1,2,1,-78000,-2400,-100,-11000,-1400,-2500,-2000,-35000,-1400,-8800,-1900,-11500,FALSE
"866",1,1,1,1,1,2,2,1,1,2,1,-82000,-2300,-2100,-11500,-1300,-2500,-2000,-37000,-1400,-8400,-2000,-11500,FALSE
